drawing_number,title,revision,date,location_code,drawing_type,submission_date,submission_ref
115000,HKT2_BYME_SDWG_VBE_CBW_115000_A,A,2023-02-13,VBE,CBW,2023-02-13,BTP_T_00670_StW
115001,HKT2_BYME_SDWG_VBE_CBW_115001_A,A,2023-02-13,VBE,CBW,2023-02-13,BTP_T_00670_StW
115002,HKT2_BYME_SDWG_VBE_CBW_115002_A,A,2023-02-13,VBE,CBW,2023-02-13,BTP_T_00670_StW
115003,HKT2_BYME_SDWG_VBE_CBW_115003_A,A,2023-02-13,VBE,CBW,2023-02-13,BTP_T_00670_StW
115004,HKT2_BYME_SDWG_VBE_CBW_115004_A,A,2023-02-13,VBE,CBW,2023-02-13,BTP_T_00670_StW
115005,HKT2_BYME_SDWG_VBE_CBW_115005_A,A,2023-02-13,VBE,CBW,2023-02-13,BTP_T_00670_StW
115006,HKT2_BYME_SDWG_VBE_CBW_115006_A,A,2023-02-13,VBE,CBW,2023-02-13,BTP_T_00670_StW
115007,HKT2_BYME_SDWG_VBE_CBW_115007_A,A,2023-02-13,VBE,CBW,2023-02-13,BTP_T_00670_StW
115000,HKT2_BYME_SDWG_VBE_CBW_115000_B,B,2023-02-10,VBE,CBW,2023-02-10,BTP_T_00716_StW
115001,HKT2_BYME_SDWG_VBE_CBW_115001_B,B,2023-02-10,VBE,CBW,2023-02-10,BTP_T_00716_StW
115002,HKT2_BYME_SDWG_VBE_CBW_115002_B,B,2023-02-10,VBE,CBW,2023-02-10,BTP_T_00716_StW
115003,HKT2_BYME_SDWG_VBE_CBW_115003_B,B,2023-02-10,VBE,CBW,2023-02-10,BTP_T_00716_StW
115004,HKT2_BYME_SDWG_VBE_CBW_115004_B,B,2023-02-10,VBE,CBW,2023-02-10,BTP_T_00716_StW
115005,HKT2_BYME_SDWG_VBE_CBW_115005_B,B,2023-02-10,VBE,CBW,2023-02-10,BTP_T_00716_StW
115006,HKT2_BYME_SDWG_VBE_CBW_115006_B,B,2023-02-10,VBE,CBW,2023-02-10,BTP_T_00716_StW
115007,HKT2_BYME_SDWG_VBE_CBW_115007_B,B,2023-02-10,VBE,CBW,2023-02-10,BTP_T_00716_StW
115010,HKT2_BYME_SDWG_VBE_CBW_115010_A,A,2023-03-16,VBE,CBW,2023-03-16,BTP_T_00759_StW
115011,HKT2_BYME_SDWG_VBE_CBW_115011_A,A,2023-03-16,VBE,CBW,2023-03-16,BTP_T_00759_StW
115012,HKT2_BYME_SDWG_VBE_CBW_115012_A,A,2023-03-16,VBE,CBW,2023-03-16,BTP_T_00759_StW
115013,HKT2_BYME_SDWG_VBE_CBW_115013_A,A,2023-03-16,VBE,CBW,2023-03-16,BTP_T_00759_StW
115014,HKT2_BYME_SDWG_VBE_CBW_115014_A,A,2023-03-16,VBE,CBW,2023-03-16,BTP_T_00759_StW
